,importance,feature
77,17.067314816482746,Gender Inequality Index (GII)
73,11.488842491855898,"Intergalactic Development Index (IDI), male, Rank"
70,5.054733993555339,"Intergalactic Development Index (IDI), male"
53,4.661116529260264,Renewable energy consumption (% of total final energy consumption)
67,4.629680548869568,"Interstellar Data Net users, total (% of population)"
72,4.571375025487206,"Intergalactic Development Index (IDI), female, Rank"
17,3.824757651554408,Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64))
0,3.3755751414333317,galactic year
69,3.280746921256525,"Intergalactic Development Index (IDI), female"
42,3.1393687473671616,Gross galactic product (GGP) per capita
46,2.910978104997669,Share of seats in senate (% held by female)
54,2.5157410857538247,"Estimated gross galactic income per capita, male"
55,1.7858495332131468,"Estimated gross galactic income per capita, female"
49,1.4458204893763573,"Mean years of education, male (galactic years)"
30,1.4148892937751432,"Labour force participation rate (% ages 15 and older), female"
68,1.3523967008605065,Current health expenditure (% of GGP)
23,1.3153765803945556,Young age (0-14) dependency ratio (per 100 creatures ages 15-64)
36,1.29685775112058,Youth unemployment rate (female to male ratio)
39,1.0870548992594473,"Mortality rate, male grown up (per 1,000 people)"
59,1.0760565603271754,"Population with at least some secondary education, male (% ages 25 and older)"
45,1.047395719696464,Exports and imports (% of GGP)
24,1.008025077840881,"Adolescent birth rate (births per 1,000 female creatures ages 15-19)"
78,0.9639655390134816,galaxy
50,0.9436457716934213,"Expected years of education, female (galactic years)"
62,0.9001864610183025,Population with at least some secondary education (% ages 25 and older)
20,0.8879175913817593,"Life expectancy at birth, male (galactic years)"
21,0.7177105695483902,"Life expectancy at birth, female (galactic years)"
29,0.7106942150956768,Labour force participation rate (% ages 15 and older)
34,0.7001737687439504,Jungle area (% of total land area)
2,0.6625979832129757,existence expectancy at birth
58,0.6508661461768425,"Population with at least some secondary education, female (% ages 25 and older)"
9,0.6031524104955086,"Intergalactic Development Index (IDI), Rank"
47,0.5889300178778761,Natural resource depletion
32,0.5177610894882875,"Labour force participation rate (% ages 15 and older), male"
14,0.48150561069563264,"Population, urban (%)"
75,0.47777717787620805,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total"
66,0.46792144959803245,Interstellar phone subscriptions (per 100 people)
48,0.4565135953836462,"Mean years of education, female (galactic years)"
65,0.45308913253705363,"Respiratory disease incidence (per 100,000 people)"
1,0.45201759008890147,existence expectancy index
5,0.44110878112924934,Expected years of education (galactic years)
52,0.4259868483148333,"Maternal mortality ratio (deaths per 100,000 live births)"
27,0.4179279880385574,"Unemployment, total (% of labour force)"
56,0.41560966165606267,Rural population with access to electricity (%)
38,0.36862453735277273,"Mortality rate, female grown up (per 1,000 people)"
33,0.3580120823621345,Employment to population ratio (% ages 15 and older)
11,0.348190240535202,Population using at least basic sanitation services (%)
16,0.33298803504328367,"Mortality rate, infant (per 1,000 live births)"
25,0.3246923336096268,Total unemployment rate (female to male ratio)
51,0.31461862641760807,"Expected years of education, male (galactic years)"
76,0.3105258469356347,Private galaxy capital flows (% of GGP)
13,0.29927722012824176,"Population, total (millions)"
61,0.2926409716346304,"Remittances, inflows (% of GGP)"
35,0.2781614193843814,"Share of employment in nonagriculture, female (% of total employment in nonagriculture)"
26,0.2691969496753504,Vulnerable employment (% of total employment)
37,0.2618361851434615,"Unemployment, youth (% ages 15–24)"
8,0.2528251913642821,Education Index
3,0.23654446431932005,Gross income per capita
18,0.22772313433714314,"Population, ages 15–64 (millions)"
31,0.22736388318146106,Employment in services (% of total employment)
60,0.21942788891993129,Gross fixed capital formation (% of GGP)
74,0.2042125664478643,Adjusted net savings 
63,0.1960174862974634,Intergalactic inbound tourists (thousands)
43,0.18393282718389972,"Gross galactic product (GGP), total"
44,0.1757628987962242,"Outer Galaxies direct investment, net inflows (% of GGP)"
12,0.16355612535490338,Gross capital formation (% of GGP)
7,0.15039383676072396,Intergalactic Development Index (IDI)
22,0.14482490100380435,"Population, under age 5 (millions)"
57,0.1408149860480858,Domestic credit provided by financial sector (% of GGP)
64,0.13611475564413839,"Gross enrolment ratio, primary (% of primary under-age population)"
40,0.12086709025060886,"Infants lacking immunization, red hot disease (% of one-galactic year-olds)"
4,0.11820395695194448,Income Index
41,0.11574396510308971,"Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)"
10,0.11407227526345963,Population using at least basic drinking-water services (%)
15,0.10661400849610239,"Mortality rate, under-five (per 1,000 live births)"
6,0.08992708866396429,Mean years of education (galactic years)
71,0.08895445945764534,Gender Development Index (GDI)
19,0.08039283364485461,"Population, ages 65 and older (millions)"
28,0.05993186548392423,Employment in agriculture (% of total employment)
