iter	Passed	Remaining
0	302	302691
1	492	245609
2	662	220332
3	862	214655
4	1107	220369
5	1640	271772
6	2012	285428
7	2224	275838
8	2434	268028
9	2727	269977
10	2937	264126
11	3174	261339
12	3333	253062
13	3506	246955
14	3681	241733
15	3853	236993
16	4039	233565
17	4255	232140
18	4454	229996
19	4654	228072
20	4838	225588
21	5151	229027
22	5412	229916
23	5632	229061
24	5816	226836
25	5999	224740
26	6193	223205
27	6397	222099
28	6608	221275
29	6790	219568
30	6992	218571
31	7190	217502
32	7380	216262
33	7568	215040
34	7762	214026
35	7943	212715
36	8141	211904
37	8332	210948
38	8524	210053
39	8726	209428
40	8916	208566
41	9119	208010
42	9326	207570
43	9516	206773
44	9729	206476
45	9959	206541
46	10158	205984
47	10359	205457
48	10548	204718
49	10741	204087
50	10941	203599
51	11139	203077
52	11356	202918
53	11545	202256
54	11747	201835
55	11970	201786
56	12183	201558
57	12404	201460
58	12601	200983
59	12817	200813
60	13022	200466
61	13237	200266
62	13454	200106
63	13658	199760
64	13869	199508
65	14075	199190
66	14300	199135
67	14499	198729
68	14702	198379
69	14896	197917
70	15097	197544
71	15326	197546
72	15524	197134
73	15717	196683
74	15929	196466
75	16125	196055
76	16363	196145
77	16562	195777
78	16777	195599
79	16980	195271
80	17191	195045
81	17437	195211
82	17632	194805
83	17831	194443
84	18024	194030
85	18225	193697
86	18425	193365
87	18615	192923
88	18842	192871
89	19064	192768
90	19283	192624
91	19518	192641
92	19723	192360
93	19923	192032
94	20122	191689
95	20309	191248
96	20521	191042
97	20717	190686
98	20908	190290
99	21102	189919
100	21288	189485
101	21496	189256
102	21681	188817
103	21896	188649
104	22086	188257
105	22279	187903
106	22483	187646
107	22680	187327
108	22894	187147
109	23092	186843
110	23273	186394
111	23460	186011
112	23667	185782
113	23856	185412
114	24041	185015
115	24239	184725
116	24421	184306
117	24616	183999
118	24808	183665
119	24990	183264
120	25162	182791
121	25351	182446
122	25531	182039
123	25717	181684
124	25894	181259
125	26075	180873
126	26261	180518
127	26446	180164
128	26643	179892
129	26817	179471
130	27007	179156
131	27211	178939
132	27410	178684
133	27620	178504
134	27828	178309
135	28012	177959
136	28218	177758
137	28426	177563
138	28632	177359
139	28841	177166
140	29032	176869
141	29230	176616
142	29414	176278
143	29612	176032
144	29834	175918
145	30022	175608
146	30216	175337
147	30415	175095
148	30611	174835
149	30823	174667
150	31028	174460
151	31262	174413
152	31517	174479
153	31733	174326
154	32002	174467
155	32192	174170
156	32370	173809
157	32545	173438
158	32716	173047
159	32913	172793
160	33078	172379
161	33248	171988
162	33428	171654
163	33607	171314
164	33789	170997
165	34024	170942
166	34223	170706
167	34388	170305
168	34566	169967
169	34748	169653
170	34934	169361
171	35108	169012
172	35273	168620
173	35435	168217
174	35598	167821
175	35765	167447
176	35931	167071
177	36117	166790
178	36283	166418
179	36447	166036
180	36605	165633
181	36783	165324
182	36951	164970
183	37149	164751
184	37313	164380
185	37483	164041
186	37647	163677
187	37820	163350
188	37984	162990
189	38165	162703
190	38331	162358
191	38494	161999
192	38662	161660
193	38836	161352
194	39000	161003
195	39184	160734
196	39349	160392
197	39522	160085
198	39688	159749
199	39860	159441
200	40022	159096
201	40215	158871
202	40381	158542
203	40558	158256
204	40726	157939
205	40896	157628
206	41069	157332
207	41251	157072
208	41411	156729
209	41582	156429
210	41759	156154
211	41926	155839
212	42083	155493
213	42266	155238
214	42429	154915
215	42603	154634
216	42775	154346
217	42971	154143
218	43152	153891
219	43361	153734
220	43553	153522
221	43752	153332
222	43939	153098
223	44151	152954
224	44334	152708
225	44546	152561
226	44732	152328
227	44918	152093
228	45127	151935
229	45312	151699
230	45535	151586
231	45723	151359
232	45904	151110
233	46081	150847
234	46274	150639
235	46450	150372
236	46658	150211
237	46834	149948
238	47034	149763
239	47224	149545
240	47408	149306
241	47605	149111
242	47778	148840
243	47938	148530
244	48119	148286
245	48289	148009
246	48453	147714
247	48634	147473
248	48827	147265
249	49016	147049
250	49218	146871
251	49392	146608
252	49564	146341
253	49749	146114
254	49916	145833
255	50078	145540
256	50241	145249
257	50405	144964
258	50644	144895
259	50860	144755
260	51040	144516
261	51201	144225
262	51415	144079
263	51625	143926
264	51835	143769
265	51903	143223
266	52077	142969
267	52255	142728
268	52436	142495
269	52609	142239
270	52773	141961
271	52977	141792
272	53150	141539
273	53321	141281
274	53498	141042
275	53669	140784
276	53832	140508
277	54021	140299
278	54228	140140
279	54420	139938
280	54691	139939
281	54890	139755
282	55099	139598
283	55313	139451
284	55485	139201
285	55653	138940
286	55821	138678
287	55990	138422
288	56051	137898
289	56252	137721
290	56420	137464
291	56589	137210
292	56764	136971
293	56928	136704
294	57090	136436
295	57293	136265
296	57458	136004
297	57628	135756
298	57801	135515
299	57972	135269
300	58137	135009
301	58327	134809
302	58495	134558
303	58658	134297
304	58851	134103
305	59038	133897
306	59221	133683
307	59435	133536
308	59617	133319
309	59795	133093
310	59985	132893
311	60177	132698
312	60412	132597
313	60595	132384
314	60767	132144
315	60947	131924
316	61128	131705
317	61310	131489
318	61511	131315
319	61700	131113
320	61876	130885
321	61953	130449
322	62131	130226
323	62317	130021
324	62495	129799
325	62732	129697
326	62901	129457
327	63085	129248
328	63277	129055
329	63450	128823
330	63667	128681
331	63832	128433
332	63989	128170
333	64014	127645
334	64181	127405
335	64376	127220
336	64565	127022
337	64757	126833
338	64942	126628
339	65143	126455
340	65318	126231
341	65509	126039
342	65681	125810
343	65877	125626
344	66043	125385
