,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
galactic year,1.0,0.18698159822876423,0.18151270202199407,0.0965938222276475,0.12377104917983296,0.2759002443650793,0.2135370286527228,0.19192617210513332,0.24376182751576259,0.10015387261262863,0.049617156177252784,0.039546363319599286,0.017336092386810345,0.015160618694520317,0.05699664239017097,-0.129296423456342,-0.1368830224481494,0.036903539624541015,0.011483255692607152,0.037377269513875086,0.11503082499702189,0.10215842639924437,0.0040269258889273005,-0.10890683814209126,-0.07778556627882202,0.02402933908855918,-0.030715903288300202,0.01487431113453917,-0.0711610293295586,-0.005005196406303014,0.02742593705186786,0.08729817147442606,-0.06553605148518013,-0.015012386229102377,-0.011811903343269934,0.038479004297248834,0.028212955944692197,0.028147435676806026,-0.06940304213695217,-0.08584670828190663,-0.13646858633649744,-0.07261742859094045,0.0458807412133658,0.02398903951144716,0.06066170089036874,0.058407009354458424,0.13484070740862114,0.017881978132146408,0.11055968099232778,0.11567356294033801,0.1261853309239701,0.1344708611405548,-0.07161341863396709,-0.02763026003487261,0.027923114301690484,0.04617515186081439,0.035546975275834204,0.02660604283228744,0.11085654045868308,0.10443396770871162,0.011451365956325475,0.008241098340143681,0.11571625733495264,0.024352684403708132,0.08921599607453094,-0.01905700942641164,0.19627741004259297,0.10885636848438017,0.04140103925647884,0.05941599613225203,0.05786273260506085,0.046983637359541856,0.025285355560041488,0.0215640219120188,0.013597849886133682,0.05359755149476729,-0.02072472335352378,-0.05013721888607873,0.01926363647853282
existence expectancy index,0.18698159822876423,1.0,0.9069767604220175,0.5013851235473549,0.7217340827966487,0.7264694136340438,0.6654687494480428,0.8205268442543492,0.7106617843477413,-0.7467212424829489,0.7829238672254306,0.780191221434677,0.10591984413821492,0.024555359627797663,0.6222950100770008,-0.8452759275310718,-0.8545656087389375,0.5895423035389076,0.013591762030990441,0.03592930596226272,0.8998663239007224,0.9055255386644682,-0.01142684111023071,-0.772530495816521,-0.7268966623809632,0.1266101433030815,-0.7365727436575413,0.06009732641777953,-0.7332642980518942,-0.306246639270758,-0.31342884961025264,0.6956016104253909,-0.18601440031419125,-0.2629944756076435,-0.026982764567632957,-0.004175656034654242,0.1337212970271617,0.1460170374480404,-0.8701476379078619,-0.8149561140406614,-0.5847759028640322,-0.5696263879093668,0.534958352886424,0.05813042361248307,0.11140452153942819,0.20627123598125188,0.15246126162114423,-0.28811525111044034,0.677679659978706,0.6518093242773021,0.7285669748129201,0.6820629331332833,-0.7873458971346734,-0.650226384504216,0.5523061013402323,0.5517487947340058,0.8017430448186227,0.46506788805905264,0.5917435648405298,0.5580642758681559,0.03601362531876192,-0.09474631601144161,0.590321346703719,0.06894329647069555,0.31560703843219196,-0.6125278075249153,0.5704384331909692,0.6694640682170754,0.24696575178661945,0.793146403450234,0.8161511645998947,0.4991317575741995,-0.7542466312119435,-0.7777999268696333,0.34811303651394787,-0.43835175026928314,-0.028121669028312434,-0.6694382261130065,0.5473722526600593
existence expectancy at birth,0.18151270202199407,0.9069767604220175,1.0,0.5114344033499519,0.7303674851755162,0.7270243804047247,0.6716430679639115,0.8293250628388684,0.715742893351532,-0.7524387329103626,0.7845918215666038,0.7857536516568916,0.10719176060061023,0.02828212625964179,0.6322505040174834,-0.8433361961890428,-0.8512201419359268,0.5935633337954235,0.010979686973911567,0.031500265536433716,0.9009506999261389,0.9040487870072021,-0.010477970434921947,-0.7757901243427505,-0.7288101741617459,0.12355449922532034,-0.7465650425551924,0.06015283237600126,-0.7405735558212637,-0.3151879608246445,-0.3242288301826959,0.7040699342600228,-0.19111730056484658,-0.2708929003720431,-0.030048810767834087,-0.016687155225434652,0.1327650668119277,0.14930817440388972,-0.8726139605352498,-0.8155274878163824,-0.5872061675775312,-0.5657887587827866,0.5464537438173852,0.056983071770346304,0.10915898490800556,0.21112600359248232,0.15311734004404523,-0.27823806059239137,0.679818366382526,0.6547577106062786,0.7310353996881801,0.6840767190160959,-0.7876909325629279,-0.6547202416499468,0.5605765125465979,0.563327108024724,0.8071410092133601,0.45859394052509106,0.5951481508295378,0.5686211949357902,0.03617514800928602,-0.10245551923669934,0.5986014137910156,0.07076449001079763,0.31582825370008655,-0.6102371123033503,0.5763570045191198,0.6766542971064733,0.24518983851216383,0.7973975236466049,0.8238182939958494,0.49779305773051713,-0.7574415448981164,-0.7834243243269723,0.35489129892501237,-0.4368486429225151,-0.030349118419129992,-0.6701420227403135,0.5557320893910468
Gross income per capita,0.0965938222276475,0.5013851235473549,0.5114344033499519,1.0,0.7356107951829016,0.48683885600274185,0.451190103868002,0.6050003665466861,0.4902006802476371,-0.63115355751579,0.46029660096904285,0.5070655229118718,0.007352313333498037,-0.023683523121226985,0.587308623475449,-0.46502351406389997,-0.49681475247105467,0.33273209558547157,-0.020883858330802876,-0.026454894482546874,0.5427670383968674,0.5023207102770918,-0.04069637011693309,-0.5393612891002658,-0.4594282788756219,0.31497817443855397,-0.6080184933491866,-0.10378595166617707,-0.5797118287745486,0.01743064922872604,-0.08824933677964798,0.5952523080318389,-0.01470943543272318,0.03105069355275048,-0.0592223547295918,-0.06494105848209195,0.2519715196511017,-0.027369796911607413,-0.4639135024852698,-0.5076825356674044,-0.3002222631869564,-0.3021174078858004,0.9033344032615905,0.01811958463111129,0.13640687689957184,0.28735840115106076,0.15698586911074378,-0.0015799750368878593,0.4637827332702398,0.44123747371625827,0.49435016794481307,0.47776849194978305,-0.3950340990140437,-0.4317743712668349,0.9045873063032733,0.8338605262528833,0.46693768699503296,0.394534788595949,0.42496257082479516,0.38341849983750065,-0.0390887101075455,-0.20463297497359811,0.4076745341574548,0.03689397076168613,0.12028162997732222,-0.3396690050867375,0.4890677261922678,0.6206719273168265,0.09751287576744075,0.6131753575836408,0.6152272862590604,0.36636013218330116,-0.637242802061774,-0.6557489835918354,0.31285219233969785,-0.13827941486493533,-0.15034094029531792,-0.4913788571641172,0.5085224442316615
Income Index,0.12377104917983296,0.7217340827966487,0.7303674851755162,0.7356107951829016,1.0,0.7133689122205822,0.6478454559540462,0.8278361940456167,0.7069639806717071,-0.8023298474406083,0.7092220727586225,0.7400492060738942,0.0816667274240273,0.022216886718257823,0.7349974217365862,-0.715509744816931,-0.7348335512523576,0.5377376674383668,0.024431805175888794,0.030328682915928593,0.7420412071590026,0.7409794288746339,0.002601078954488561,-0.7425802891525525,-0.640021596499146,0.19555511279650062,-0.8085473087806024,0.10351170637746783,-0.8018406754923515,-0.24049888792880073,-0.2732773266451809,0.7890649029928417,-0.20027821613252733,-0.2428030111169164,-0.015356055577279164,-0.029437311909898196,0.18564145435343934,0.20271700346963767,-0.6651216471439795,-0.6302385747178954,-0.4838458173377058,-0.46871837765334523,0.763144663987496,0.07465097123669878,0.11991968787031361,0.2862179508292008,0.16414188257011328,-0.09100935009882459,0.6548770847196821,0.6348342803222393,0.7264564633711866,0.6944571523955111,-0.6469938557676421,-0.6545903887769796,0.7707744495046154,0.7616842291727224,0.7067758307496776,0.46909463102915344,0.5793425949560104,0.5430236782627418,0.014896032956626412,-0.24135258724545888,0.5762518641006418,0.09377926912193635,0.2620354564486661,-0.4421719067691666,0.6435535129121136,0.707171015024273,0.16938639286611012,0.8239408062681025,0.8362189223595028,0.538864864771331,-0.8073560914112317,-0.8164510581023308,0.37269639086744943,-0.19209306029595924,-0.06877646422066208,-0.65855083830003,0.581047833265173
Expected years of education (galactic years),0.2759002443650793,0.7264694136340438,0.7270243804047247,0.48683885600274185,0.7133689122205822,1.0,0.7499371927336955,0.8319201401162095,0.8472936726549257,-0.7329825714046799,0.6959469189259567,0.708829861248653,0.05170520747672399,-0.01768920977528583,0.6152482894763092,-0.7432107665050582,-0.7556588819148577,0.6295757046121887,-0.03125032636225781,-0.003124800774150609,0.7213718751798255,0.7457155131156421,-0.0479487409301903,-0.7345213549740832,-0.6568133513361372,0.058387865896896186,-0.7297788786720393,0.17136834762513395,-0.7156678463965173,-0.24041437445033365,-0.15580090967206278,0.6986403419951397,-0.31048015383308325,-0.25939151354090345,0.023123181562753885,0.13785067465638073,0.07395805754284325,0.2293244494877458,-0.6407814793738301,-0.558879167355197,-0.5894754079916801,-0.564925001559071,0.5014777522925381,0.026582262762363675,0.0817940027333596,0.191195700085591,0.2694437761633773,-0.22582594922913019,0.7373516545646271,0.7205032630907302,0.8644058945533426,0.8471975637852036,-0.6552535989791082,-0.5676250513321772,0.5096842717482102,0.5686869129244718,0.6927199705684535,0.4150357933143443,0.6500309896592052,0.6276706355522235,0.014421500189675963,-0.07799725414982066,0.6556801917325269,0.04338069953963688,0.4960706011423302,-0.39920033339247596,0.587227251743293,0.6861010963316848,0.35191580832519176,0.794093283906545,0.7828671923424476,0.6069237961822159,-0.7491464065987256,-0.7260758654883549,0.23619769132805674,-0.14009066760854932,0.01717012866759426,-0.6869058916418029,0.5838417704124188
Mean years of education (galactic years),0.2135370286527228,0.6654687494480428,0.6716430679639115,0.451190103868002,0.6478454559540462,0.7499371927336955,1.0,0.8012224353174958,0.8707430810006054,-0.7173628845801903,0.6555121703275135,0.7027935753946869,0.09050791672334403,-0.00043637816420176765,0.5712459015055724,-0.6966435573201358,-0.7037112882610381,0.6374819315462984,-0.012627684250001315,0.01393191506584958,0.6524027150844979,0.7022934775535249,-0.027303066647230395,-0.7460615854848797,-0.6534589369640674,-0.01804584295613434,-0.6953833417271686,0.16350602770826933,-0.6443979748380892,-0.20067286639678586,-0.06971639988596758,0.6340782900234817,-0.3544829141664082,-0.2263927071676429,0.03472684101562509,0.21477602039997587,0.006311132512613111,0.21498248912318862,-0.6228940409715803,-0.4847328498350566,-0.5391269511844269,-0.4889802312768871,0.4804691050282103,0.05051529624945922,0.11633881460782829,0.2337401227861314,0.2318441844614509,-0.21923407690925156,0.8806053595165613,0.8841329861162596,0.7558405061163697,0.7087565256105056,-0.6388086953674454,-0.5800250015761618,0.46507569790982345,0.5451910023128687,0.6948109440715421,0.39383065886672697,0.8228878137392517,0.8044968039951708,0.05380380191461463,-0.043701205215675124,0.8296178801831083,0.05583684584620703,0.28747072921447986,-0.3708638904464982,0.5430658034075134,0.6814041468713732,0.31569731349714786,0.7831503888944961,0.7671631632863205,0.6377145699762096,-0.7618101973605385,-0.7336448868463785,0.22910731691919653,-0.17910978717569143,-0.06149226476834653,-0.706794188268618,0.5762366711906035
Intergalactic Development Index (IDI),0.19192617210513332,0.8205268442543492,0.8293250628388684,0.6050003665466861,0.8278361940456167,0.8319201401162095,0.8012224353174958,1.0,0.8512613338456698,-0.8232109789899205,0.7872795334480411,0.8088681439168679,0.10234047892850612,0.010871840592425887,0.7052481057027007,-0.815753193218403,-0.8256430394929681,0.6474087838538403,-0.003957563684182898,0.020233720818108335,0.83002558647172,0.8479711587918195,-0.0223452485439917,-0.8176410025476841,-0.7274521070589264,0.11631549180667777,-0.814183218728117,0.134721142589435,-0.8003488927350196,-0.2789501480306565,-0.23664184813535996,0.7794828528225661,-0.28685880582958007,-0.27750554081929296,0.01609954486227579,0.06710775161114847,0.12496426403015619,0.22268062525724222,-0.7702479793637843,-0.6964582856590796,-0.5951476821918197,-0.5640472453860869,0.6398963625712552,0.055712811483417356,0.12105406433749032,0.2616810924759334,0.2115725002649883,-0.19803780244985694,0.7929118688250958,0.7800105922196656,0.8325257105142541,0.7985108402137924,-0.7406580230387367,-0.6752099677533728,0.6422743320642608,0.672098431585454,0.7979631716479816,0.4698285011018218,0.7154443206634027,0.6834253734658841,0.04873526475939227,-0.13162967574801743,0.7101479414945493,0.06993826369159663,0.36522411111789044,-0.5190450350423315,0.6454690656480639,0.7496884119801485,0.2822440050639507,0.8789171933985201,0.8845190441451691,0.6183037674164739,-0.8433735803107781,-0.8442102636636336,0.32551478398318007,-0.2734194102957344,-0.039211032638089734,-0.7488879512808159,0.6207470835015731
Education Index,0.24376182751576259,0.7106617843477413,0.715742893351532,0.4902006802476371,0.7069639806717071,0.8472936726549257,0.8707430810006054,0.8512613338456698,1.0,-0.7506138784531543,0.7022802463415382,0.7344112559446545,0.08001723230624097,-0.004798476244113151,0.6158291389952458,-0.7439361120425751,-0.754792049721586,0.6649402334607356,-0.019922989646073783,0.01186195591270652,0.7057128679196831,0.7483729795517975,-0.03359424489380292,-0.7683116109611935,-0.6821740212367212,0.0073064340694040655,-0.7375061857756868,0.17387705320821084,-0.700890171311282,-0.2242459792625504,-0.1043050285613742,0.6869824495895848,-0.3522751573991224,-0.250561052798465,0.04764218995099518,0.1876080523324102,0.03218774265446926,0.23319225548319855,-0.6535761589977841,-0.5388646242787324,-0.580076240686012,-0.5356196022853972,0.5146896747343311,0.039786819963499524,0.10357627137480664,0.22358490168883674,0.25255988984060923,-0.21733350961738818,0.8519785523591101,0.8512961680826269,0.8363666759754942,0.8027655481762344,-0.6712417050173634,-0.59812827184177,0.5063781219690738,0.5804391103791128,0.7234588372680814,0.4091893981302897,0.7839960833639473,0.76095709211781,0.04577582610300133,-0.07039481310324143,0.786380440972585,0.0515373711851173,0.3861068966188906,-0.3972337866291715,0.5818211822063267,0.7101645402195772,0.34158390521541476,0.8264525219604066,0.8123619052933553,0.648159265605052,-0.7934167321181914,-0.7644560962498471,0.23683535108752096,-0.1693938094675098,-0.024781385706252743,-0.7328158259741953,0.6073769192399842
"Intergalactic Development Index (IDI), Rank",0.10015387261262863,-0.7467212424829489,-0.7524387329103626,-0.63115355751579,-0.8023298474406083,-0.7329825714046799,-0.7173628845801903,-0.8232109789899205,-0.7506138784531543,1.0,-0.7445786847960587,-0.778756316060827,-0.041501263741798286,-0.005780974102154965,-0.7042893072655887,0.743416778230844,0.7694530913811956,-0.6830063437831831,0.0032103590606797757,-0.007404129703046618,-0.7832301835605525,-0.801046502491591,0.024979264930829016,0.7994585523773985,0.6961404258332615,-0.09777043581651851,0.8025560099278366,-0.08049984883123934,0.7690584877545384,0.22591922768735756,0.19187782833312045,-0.7499397113805274,0.24260914787974522,0.21301394883574207,0.005978748190947323,-0.07307829181261923,-0.08600661992412986,-0.1611494811073318,0.7241433799440589,0.6542457329070316,0.5347836447203429,0.5220936025328077,-0.68330205851042,-0.053604952338902015,-0.1134484357620244,-0.21968217375283464,-0.21461576947364241,0.23749208298655847,-0.7523574692423498,-0.7334774329310934,-0.7937687934680385,-0.762529539932986,0.6772553198229244,0.6191196848282509,-0.6880992940799623,-0.7170962915246223,-0.757184371105733,-0.5069841895301235,-0.6597415148953375,-0.6371553971500448,0.02765908009159489,0.18361999383478414,-0.6573682149013349,-0.0720214519192721,-0.28035869945303266,0.49900372558493383,-0.6080809414400469,-0.7693195163100468,-0.30221389661542014,-0.8505344112467388,-0.8552768339674597,-0.5780639821147245,0.8686005973909756,0.8683342120883618,-0.3124361633360446,0.2756402887882466,0.0439901134420252,0.7403172429463379,-0.6779820712438677
