galaxy,Predicted,Energy_Allocated
KK98 77,0.071571168,12.5
Reticulum III,0.097373989,14.28571429
Reticulum III,0.097534099,14.28571429
Segue 1,0.100004582,12.5
Virgo I,0.084842624,33.33333333
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.06490977,10
Reticulum III,0.095071755,14.28571429
KK98 77,0.071422916,12.5
KKR 25,0.193122676,20
KK98 77,0.063025903,12.5
Antlia B,0.060323609,20
Hydra II,0.053634952,11.11111111
KK98 77,0.071549532,12.5
Hydra II,0.055093898,11.11111111
UGC 8651 (DDO 181),0.211317842,50
KKR 25,0.193312727,20
NGC 300,0.065200929,20
KKR 25,0.191776209,20
Reticulum III,0.097038987,14.28571429
Antlia B,0.060569404,20
Antlia B,0.053486702,20
Virgo I,0.085985609,33.33333333
Leo V Dwarf,0.257905705,11.11111111
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.059746517,10
KKh 060,0.057900482,20
Cetus III,0.0661338,50
Reticulum III,0.092261155,14.28571429
Segue 1,0.100872141,12.5
Hydra II,0.055383104,11.11111111
KK98 77,0.066389669,12.5
Crater II,0.062206824,14.28571429
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.065847511,10
Hydra II,0.055316086,11.11111111
Andromeda XVII,0.278822191,12.5
Reticulum III,0.09303794,14.28571429
Antlia B,0.060589772,20
Andromeda XXIX,0.063746092,12.5
Reticulum III,0.096190077,14.28571429
Hydra II,0.050567263,11.11111111
Andromeda XVII,0.276933255,12.5
Draco Dwarf (DDO 208),0.120146696,14.28571429
Andromeda VIII,0.059331444,50
Draco Dwarf (DDO 208),0.118743831,14.28571429
KKR 25,0.193714609,20
Andromeda XVII,0.278731537,12.5
Antlia B,0.065035381,20
Segue 1,0.099831296,12.5
KKH 12,0.055152319,50
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.066759191,10
Pegasus III,0.261198944,100
Draco Dwarf (DDO 208),0.120223875,14.28571429
Crater II,0.062460295,14.28571429
KKH 12,0.064139243,50
Segue 1,0.099346872,12.5
KK98 77,0.07833805,12.5
KKh 060,0.053199363,20
UGC 8651 (DDO 181),0.210788327,50
Hydra II,0.053143087,11.11111111
Andromeda XVII,0.279396737,12.5
KKR 25,0.193170478,20
Draco Dwarf (DDO 208),0.115709849,14.28571429
Cassiopeia II (Andromeda XXX),0.065363984,12.5
Hydra II,0.056790411,11.11111111
Hydra II,0.057189008,11.11111111
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.067872836,10
IC 3104,0.178042344,20
Draco Dwarf (DDO 208),0.119868888,14.28571429
Virgo I,0.084602841,33.33333333
UGCA 133 (DDO 44),0.057151744,12.5
UGCA 92,0.072432301,12.5
Barnard's Galaxy (NGC 6822),0.05808124,12.5
Crater II,0.060075911,14.28571429
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.06129153,10
Crater II,0.05885012,14.28571429
KKh 060,0.057683467,20
UGCA 92,0.072036272,12.5
Segue 1,0.095589729,12.5
KKh 060,0.057778748,20
Andromeda XXIX,0.059550248,12.5
Draco Dwarf (DDO 208),0.119014964,14.28571429
UGCA 133 (DDO 44),0.057531957,12.5
KKs 3,0.06319621,20
"Leo I Dwarf (DDO 74, UGC 5470)",0.118196172,12.5
Sextans Dwarf Sph,0.057702983,33.33333333
Segue 1,0.101619134,12.5
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.060177286,10
Crater II,0.062562759,14.28571429
UGCA 92,0.069159599,12.5
Cetus III,0.061571386,50
UGCA 92,0.072093183,12.5
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.065887615,10
NGC 300,0.070474931,20
Horologium II,0.060948391,33.33333333
Andromeda XVII,0.276370356,12.5
Leo V Dwarf,0.258235011,11.11111111
Andromeda X,0.228799469,10
UGC 9240 (DDO 190),0.058160408,50
KK98 77,0.069505289,12.5
NGC 300,0.059760094,20
Sextans Dwarf Sph,0.060292675,33.33333333
Andromeda XXIX,0.063669661,12.5
Andromeda XI,0.114545046,12.5
NGC 1569 (UGC 3056),0.057810457,25
Andromeda XI,0.114132847,12.5
UGCA 92,0.070284629,12.5
Carina Dwarf (E206-G220),0.208135225,14.28571429
Carina Dwarf (E206-G220),0.202204404,14.28571429
IC 1613 (UGC 668),0.19150486,50
KKh 060,0.061251696,20
Leo V Dwarf,0.256834191,11.11111111
IC 3104,0.177826967,20
Andromeda XI,0.108896786,12.5
Horologium II,0.057140496,33.33333333
"Leo I Dwarf (DDO 74, UGC 5470)",0.117951975,12.5
Andromeda X,0.229210912,10
Tucana IV,0.061605189,50
"Leo I Dwarf (DDO 74, UGC 5470)",0.118105683,12.5
Andromeda XVII,0.278783377,12.5
Hydra II,0.051100027,11.11111111
Andromeda VIII,0.055038257,50
Aquarius Dwarf Galaxy (DDO 210),0.097919049,10
Carina Dwarf (E206-G220),0.206652327,14.28571429
UGC 4483,0.062278642,50
Tucana IV,0.058560138,50
Andromeda XVII,0.279392531,12.5
UGCA 133 (DDO 44),0.054359539,12.5
Andromeda XXIX,0.062567179,12.5
Aquarius Dwarf Galaxy (DDO 210),0.0993266,10
Andromeda Galaxy (M31),0.361141152,12.5
Barnard's Galaxy (NGC 6822),0.05295249,12.5
Andromeda XI,0.10976741,12.5
Cassiopeia II (Andromeda XXX),0.065116266,12.5
UGCA 92,0.073630348,12.5
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.058840936,10
Andromeda I,0.077743044,12.5
NGC 300,0.059067849,20
UGC 4483,0.05996885,50
Carina Dwarf (E206-G220),0.206600131,14.28571429
Segue 1,0.095561994,12.5
Andromeda X,0.227211685,10
Andromeda X,0.22851779,10
Segue 1,0.09962903,12.5
Andromeda XI,0.112333421,12.5
Draco II,0.106648996,50
Large Magellanic Cloud (LMC),0.087083471,12.5
Aquarius Dwarf Galaxy (DDO 210),0.10312135,10
Aquarius Dwarf Galaxy (DDO 210),0.103126887,10
IC 3104,0.174984171,20
UGCA 133 (DDO 44),0.049875456,12.5
"Leo I Dwarf (DDO 74, UGC 5470)",0.117377256,12.5
UGCA 133 (DDO 44),0.058878399,12.5
Lacerta I (Andromeda XXXI),0.104119794,12.5
"Wolf-Lundmark-Melotte (WLM, DDO 221)",0.065637464,10
Sextans Dwarf Sph,0.052150714,33.33333333
Cassiopeia II (Andromeda XXX),0.064789458,12.5
ESO 383-087 (ISG 39),0.121342749,12.5
IC 1613 (UGC 668),0.193619875,50
Carina Dwarf (E206-G220),0.208664014,14.28571429
ESO 274-01[70],0.060775161,12.5
ESO 540-030 (KDG 2),0.104259407,50
Large Magellanic Cloud (LMC),0.08332038,12.5
Andromeda XVII,0.278643181,12.5
ESO 274-01[70],0.057657388,12.5
Pisces V (Andromeda XVI),0.095954017,50
NGC 5206,0.057128353,50
Andromeda XXIX,0.063383903,12.5
UGC 8833,0.219877887,12.5
Andromeda I,0.072451824,12.5
ESO 274-01[70],0.062480141,12.5
Cassiopeia II (Andromeda XXX),0.056068089,12.5
Andromeda Galaxy (M31),0.361963649,12.5
KKs 3,0.063109438,20
Grus II,0.057778108,50
Aquarius Dwarf Galaxy (DDO 210),0.099268608,10
UGC 8833,0.222724184,12.5
Andromeda XI,0.111366021,12.5
Leo V Dwarf,0.258825764,11.11111111
Pisces I,0.061945931,14.28571429
Aquarius II,0.064554342,33.33333333
ESO 274-01[70],0.061960473,12.5
Aquarius II,0.059577271,33.33333333
NGC 1569 (UGC 3056),0.056657782,25
Andromeda I,0.071105023,12.5
Carina II,0.061552809,12.5
ESO 383-087 (ISG 39),0.121622717,12.5
NGC 5206,0.052437302,50
Leo V Dwarf,0.255424935,11.11111111
Andromeda XXIX,0.056483085,12.5
UGCA 92,0.070491379,12.5
NGC 247,0.269386972,12.5
ESO 274-01[70],0.062908544,12.5
Andromeda XXIX,0.060908531,12.5
Aquarius Dwarf Galaxy (DDO 210),0.09921349,10
UGC 8833,0.22358595,12.5
Leo V Dwarf,0.256770753,11.11111111
Barnard's Galaxy (NGC 6822),0.052686143,12.5
UGC 8833,0.22292026,12.5
Andromeda XXIX,0.065978818,12.5
Andromeda XXVI,0.057078656,12.5
UGC 7577 (DDO 125),0.107526977,12.5
Andromeda X,0.228901144,10
Horologium II,0.061834481,33.33333333
NGC 147 (DDO 3),0.054989323,50
NGC 1569 (UGC 3056),0.058388511,25
Cassiopeia II (Andromeda XXX),0.064221649,12.5
Andromeda XXVI,0.055800776,12.5
Aquarius Dwarf Galaxy (DDO 210),0.103564902,10
Sextans B (UGC 5373),0.107510687,20
Dwingeloo 2,0.064010715,50
"Leo I Dwarf (DDO 74, UGC 5470)",0.114315347,12.5
"Leo I Dwarf (DDO 74, UGC 5470)",0.111729654,12.5
Carina Dwarf (E206-G220),0.20549023,14.28571429
Barnard's Galaxy (NGC 6822),0.061202648,12.5
"Leo I Dwarf (DDO 74, UGC 5470)",0.1128351,12.5
UGC 4879 (VV124)[61],0.090576193,20
UGC 7577 (DDO 125),0.104017008,12.5
"Leo II Dwarf (Leo B, DDO 93)",0.061024322,11.11111111
Andromeda XI,0.113908768,12.5
Lacerta I (Andromeda XXXI),0.113289047,12.5
Andromeda XXVI,0.057276934,12.5
ESO 274-01[70],0.060834826,12.5
UGC 8833,0.222446464,12.5
UGC 4879 (VV124)[61],0.10023327,20
Sextans B (UGC 5373),0.100106468,20
Andromeda XI,0.11414832,12.5
UGCA 92,0.068508319,12.5
IC 3104,0.178816916,20
KKs 3,0.062880857,20
NGC 300,0.065954188,20
Draco Dwarf (DDO 208),0.114990602,14.28571429
UGCA 15 (DDO 6),0.31364375,16.66666667
Andromeda X,0.22502038,10
"Small Magellanic Cloud (SMC, NGC 292)",0.069064123,12.5
Andromeda XXV,0.054570284,50
KUG 1210+301B (KK98 127),0.115168,20
Leo V Dwarf,0.256604175,11.11111111
Andromeda I,0.083766709,12.5
Andromeda I,0.078799743,12.5
Large Magellanic Cloud (LMC),0.086977318,12.5
Crater II,0.061821054,14.28571429
Pisces I,0.061991221,14.28571429
Andromeda I,0.074577163,12.5
Aquarius Dwarf Galaxy (DDO 210),0.101590039,10
Lacerta I (Andromeda XXXI),0.112927474,12.5
Aquarius II,0.060176172,33.33333333
Maffei 2,0.32253017,50
Andromeda XXVI,0.058251834,12.5
UGCA 133 (DDO 44),0.060132234,12.5
Barnard's Galaxy (NGC 6822),0.057902063,12.5
KKH 37 (Mai 16),0.092193311,16.66666667
NGC 2366,0.069153875,50
UGCA 133 (DDO 44),0.055542512,12.5
Crater II,0.056938709,14.28571429
Andromeda Galaxy (M31),0.360914483,12.5
IC 3104,0.177619014,20
ESO 383-087 (ISG 39),0.122850535,12.5
Large Magellanic Cloud (LMC),0.080053084,12.5
Cassiopeia II (Andromeda XXX),0.065419228,12.5
UGCA 15 (DDO 6),0.310845511,16.66666667
Cassiopeia II (Andromeda XXX),0.065288127,12.5
Leo V Dwarf,0.254269883,11.11111111
"Leo II Dwarf (Leo B, DDO 93)",0.059550611,11.11111111
Lacerta I (Andromeda XXXI),0.113234135,12.5
Andromeda I,0.077693727,12.5
ESO 383-087 (ISG 39),0.121561673,12.5
Phoenix II,0.126267338,14.28571429
Barnard's Galaxy (NGC 6822),0.058248125,12.5
NGC 1569 (UGC 3056),0.052470913,25
NGC 147 (DDO 3),0.046354745,50
ESO 383-087 (ISG 39),0.116153308,12.5
UGCA 292,0.090605217,50
Antlia Dwarf,0.072213108,20
ESO 383-087 (ISG 39),0.121850592,12.5
ESO 321-014[70],0.0919959,50
Lacerta I (Andromeda XXXI),0.105997165,12.5
M32 (NGC 221),0.110732211,50
Andromeda X,0.227009967,10
Andromeda XXVI,0.056921369,12.5
UGC 8833,0.21996688,12.5
Horologium I,0.077262232,33.33333333
Antlia Dwarf,0.080173791,20
Leo V Dwarf,0.257283863,11.11111111
UGCA 105,0.075838877,16.66666667
Andromeda Galaxy (M31),0.36189206,12.5
KKs 3,0.067030235,20
UGC 7577 (DDO 125),0.121715334,12.5
UGCA 105,0.079808533,16.66666667
UGCA 438 (ESO 407-018),0.243862718,20
KKh 98,0.073282398,20
Barnard's Galaxy (NGC 6822),0.060864164,12.5
HIPASS J1247-77,0.086902499,12.5
Carina II,0.061643169,12.5
Boötes I,0.062818129,50
Carina II,0.057879287,12.5
"Leo A (Leo III, DDO 69)",0.063628804,12.5
Boötes I,0.068381073,50
Sextans B (UGC 5373),0.105256511,20
Andromeda Galaxy (M31),0.362212855,12.5
Draco II,0.103611609,50
UGCA 133 (DDO 44),0.057418893,12.5
UGC 8833,0.223295122,12.5
"Leo II Dwarf (Leo B, DDO 93)",0.059667626,11.11111111
UGC 9240 (DDO 190),0.061425376,50
ESO 383-087 (ISG 39),0.115194508,12.5
Andromeda XXV,0.055719604,50
UGCA 15 (DDO 6),0.309769056,16.66666667
UGC 7577 (DDO 125),0.095674841,12.5
Andromeda X,0.229166631,10
Lacerta I (Andromeda XXXI),0.110979783,12.5
Large Magellanic Cloud (LMC),0.087189813,12.5
ESO 540-032,0.081503425,12.5
UGCA 15 (DDO 6),0.310348071,16.66666667
Andromeda XXVI,0.053940147,12.5
UGCA 15 (DDO 6),0.306075794,16.66666667
Andromeda Galaxy (M31),0.357713025,12.5
UGCA 86,0.110374533,50
Andromeda Galaxy (M31),0.360037616,12.5
Aquarius Dwarf Galaxy (DDO 210),0.102755103,10
Boötes III,0.065348429,12.5
Coma Berenices Dwarf,0.13681497,12.5
Boötes III,0.06634678,12.5
KKH 37 (Mai 16),0.090319514,16.66666667
Large Magellanic Cloud (LMC),0.089752126,12.5
"Leo I Dwarf (DDO 74, UGC 5470)",0.118380543,12.5
ESO 274-01[70],0.06216217,12.5
KKR 03 (KK98 230),0.360686705,20
"Leo A (Leo III, DDO 69)",0.070378397,12.5
Andromeda X,0.223682599,10
Andromeda I,0.077555735,12.5
M32 (NGC 221),0.112361731,50
KUG 1210+301B (KK98 127),0.11576836,20
Eridanus II,0.214432666,50
Reticulum II,0.076900572,50
"Leo II Dwarf (Leo B, DDO 93)",0.060759282,11.11111111
Dwingeloo 2,0.059721173,50
KKh 98,0.071238246,20
NGC 247,0.270778719,12.5
"Leo II Dwarf (Leo B, DDO 93)",0.065003635,11.11111111
ESO 274-01[70],0.056785859,12.5
UGC 7577 (DDO 125),0.104446071,12.5
Perseus I (Andromeda XXXIII),0.102518393,12.5
Andromeda XXIII,0.058439962,50
"Leo II Dwarf (Leo B, DDO 93)",0.067540666,11.11111111
Carina II,0.061477412,12.5
Carina II,0.055028653,12.5
ESO 540-030 (KDG 2),0.099806473,50
Carina Dwarf (E206-G220),0.200680255,14.28571429
KKs 3,0.05790956,20
Sextans B (UGC 5373),0.101302471,20
Andromeda XXI[57],0.16149154,10
Sextans B (UGC 5373),0.10681324,20
NGC 1560,0.120159234,50
"Small Magellanic Cloud (SMC, NGC 292)",0.068886987,12.5
Pegasus Dwarf Irregular (DDO 216),0.083860437,10
Andromeda X,0.228871531,10
KKH 37 (Mai 16),0.080926039,16.66666667
UGCA 292,0.0863599,50
KUG 1210+301B (KK98 127),0.109683632,20
Pisces I,0.061776334,14.28571429
