drop,galactic year,galaxy,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
0,990025,Large Magellanic Cloud (LMC),0.628656923,63.12520024,27109.23431,0.646039466,8.240542719,5.838158464,0.743049841,0.558598439,184.7674816,109.2803031,88.75525016,38.30548297,681.8410858,22.1314363,150.2592901,129.8417891,12.40381241,490.4464004,60.12158025,57.02818348,69.82536861,46.01823016,98.2160716,174.6178994,2.810691541,100.3046389,8.503805558,84.11900248,79.61406649,73.07160031,45.77460465,85.8515441,76.55135229,73.16635398,39.28318435,2.213834536,23.32673798,431.2703027,466.0892874,16.16787136,8.22356267,21158.32486,7760.639489,13.61799267,94.85930634,17.30470444,8.436392493,6.047974975,5.586521315,13.16012533,12.33871951,1237.228737,118.4346335,27235.92053,16279.32027,94.30082171,75.60479895,48.99446675,37.24742354,42.61628438,6.903285711,38.34280673,103774.5467,102.4970452,350.5059425,104.553877,47.15998605,6.323607649,0.7203656,0.747201706,0.977962569,153.9816472,150.1090375,34.51234084,-1000,-1000,0.723432115,0.052589771
1,990025,Camelopardalis B,0.818082167,81.00499445,30166.79396,0.852246418,10.67182318,4.742469612,0.833623733,0.467872915,152.5221981,119.1365965,116.8639357,36.255559,423.973089,89.2941808,117.0693323,61.82258996,13.05489774,560.5477061,58.57300222,69.87390484,76.752305,40.16796002,88.32257432,109.8923849,2.388919126,68.06914153,15.46490185,56.58252052,63.8137196,45.48207091,59.75756789,93.52635898,55.95688258,35.59037104,29.18285341,2.17079146,27.0262814,221.4110134,376.475151,36.63951927,21.00733864,24984.04439,6969.137436,19.48482996,77.93510772,16.21509782,12.54935126,7.096069687,8.098793659,11.79721287,13.47770714,544.4589251,53.75352533,44821.54755,20887.69858,131.1640965,57.21415022,57.31493155,56.18735529,29.90842224,6.225945766,44.78002301,112686.1462,120.8860802,216.1488652,108.3051792,57.15839396,7.206480519,0.862848754,0.885398513,0.952018188,124.2462386,96.42950105,19.177926,-1000,22.78501761,0.702226977,0.05986803
2,990025,Virgo I,0.659443179,59.57053361,8441.707353,0.499761547,8.840315871,5.583972505,0.469109517,0.363837215,209.8132664,72.20757116,50.2225575,18.09399109,285.5722073,57.49108328,226.5237602,134.558437,15.96300088,555.0124611,43.07849719,59.4626258,59.15250565,91.09366767,114.1639952,230.573666,2.743134113,124.4697006,13.47808087,89.62525791,80.87414914,75.21772737,36.76264179,95.04127207,79.53782198,48.89255473,52.73872712,2.22578154,28.1563483,513.730396,581.0635982,31.95851492,18.95443446,19860.12152,3276.634176,13.35715822,87.50861951,21.36134816,13.94973327,6.494764267,6.730145376,6.960040847,6.805404818,1537.953483,126.0636915,22209.71545,11806.36444,47.20979598,76.14173456,42.40582676,53.92771521,18.73204919,4.138114798,24.03094493,98051.65883,96.62683141,732.1522533,60.27037994,31.97420358,7.046759502,0.440896284,0.541557332,0.844665726,212.1968833,201.3833407,21.15126546,6.534020025,-1000,0.890030243,0.050449062
3,990025,UGC 8651 (DDO 181),0.555861648,52.3332928,21887.81994,0.600628725,8.805304472,8.673660599,0.583648846,0.492167737,231.5544592,65.3183915,36.36590092,18.24529501,327.2022469,47.7854561,279.0001754,193.2287987,12.94099068,766.8077033,51.31837242,50.53579733,54.93136928,92.72789176,97.64523218,198.9713284,2.526907547,111.7166002,19.17325056,71.59104653,84.72188207,82.02612509,55.97894222,86.30783167,76.67876193,-1000,47.86572475,1.67608052,32.89614202,497.7853863,612.1069936,60.37599436,47.10494373,17801.88075,5947.76817,11.31612608,128.9668894,38.93987165,16.51618061,6.874140504,8.235850348,6.905363609,9.194131082,2016.655551,71.28546097,17611.90148,16373.18129,51.04972744,78.60478964,-1000,-1000,16.98565688,14.17082866,-1000,-1000,90.87585819,337.2400865,60.38372388,36.68769946,-1000,0.530849003,0.622850033,0.957847269,197.352496,203.2415284,-1000,5.912194172,-1000,-1000,0.049394248
4,990025,Tucana Dwarf,0.991196352,81.80246409,81033.95691,1.131162671,13.80067185,13.18890657,0.910340906,0.918353184,71.88534509,121.857906,129.8454676,34.4974684,633.799718,103.5626288,28.35958694,51.09825006,25.52192565,585.4348044,56.15805414,85.0209645,84.70815797,71.49381013,53.83587485,61.0086544,2.925383898,33.16691109,9.839607236,24.92460892,61.08614115,66.28684756,100.7254843,76.67184445,64.94154693,60.2635787,52.18900377,2.158488266,25.25818457,150.1732255,213.6914183,29.57737503,11.13486673,75156.04941,8957.403969,77.88009544,241.9013566,33.5871716,15.0908201,11.83021571,12.12298232,17.69686467,16.72214553,232.5731397,39.19227654,108390.0758,63494.45613,134.9670489,255.0470266,77.22393525,75.47507648,31.39839347,12.39386705,66.67465084,96251.3174,114.159757,188.3120511,185.2978941,107.032192,9.268401127,1.021812943,1.034806841,1.071361446,63.05041544,57.95811215,34.44354084,5.611752885,-255.8036804,0.3403574,0.154246985
5,990025,KKh 060,0.824691678,63.88713544,28409.0627,0.671697361,14.06245815,9.978597143,0.815264464,0.796806692,121.8396961,97.28629555,64.83828559,31.21911788,821.7109062,54.30551545,94.31774484,70.02580723,12.00111196,393.021816,79.80129914,64.13275899,82.33518372,25.33228862,108.5620703,170.1753221,2.644670982,58.99369954,26.38297763,60.55051361,69.85400909,66.95860075,70.9620898,72.24137037,58.79603333,25.30489996,58.07878285,2.140195062,53.4866898,364.3067431,399.1865293,39.69166374,18.87750137,22301.0772,5067.505526,11.54326757,132.4147587,35.37112988,8.868365364,8.454600532,8.503985104,12.70549509,12.76875398,779.736934,54.09746,30339.32653,19895.36745,54.19519306,99.51782031,45.13141857,74.62831621,26.64139413,8.382952287,64.71966489,108571.3841,133.5413288,761.2880886,122.624905,37.28407378,12.32282032,0.787206514,0.758833909,1.05519076,152.6308855,156.196003,40.11869861,3.981104753,21.01289725,0.736526093,0.052870668
6,990025,Grus II,0.657457461,68.55532622,25648.32883,0.745673897,15.43454644,10.02178629,0.662191534,0.743891083,149.5670748,103.8585406,67.64716627,21.99465678,855.7475042,82.04461419,155.4881541,98.28850784,14.49443401,540.4862512,79.84369926,63.72060429,66.94819423,64.26413195,97.0137935,168.4502964,2.908342336,91.107392,9.304316651,60.6567719,84.96971884,59.69261972,64.15511966,95.1190433,80.80907166,77.53662706,51.95976043,2.308204507,20.60834555,265.3612518,403.6353602,63.57845399,44.47484919,19047.2837,7931.24181,10.04655701,86.67508617,38.49953303,12.45916503,9.45297227,11.04055385,17.33437637,17.40250022,851.2505631,57.85664797,26948.12224,16443.88813,44.18492317,70.64135273,61.07817631,78.26684814,20.30205151,5.993099128,92.41571912,110518.4464,112.3169051,330.9418075,105.8122315,48.95016906,7.720186332,0.794236573,0.87086288,0.989196478,150.2338888,151.4777717,12.9849957,4.320539364,19.40763843,0.752478788,0.052780248
7,990025,UGCA 292,0.951043119,75.69339656,20935.54151,0.947961108,14.86287976,11.02583231,0.846881828,0.800691617,151.8389851,110.206824,114.854031,50.15981906,999.8272022,78.37973,129.0796226,65.81874404,15.810462,195.4997345,38.98053406,71.79409857,85.91489101,87.28636252,85.28228358,157.861679,3.839645933,40.13153982,15.55840018,36.73424326,57.38215091,45.39399051,87.69832307,69.03380727,57.84344928,127.497002,48.95381707,3.540796715,37.02003669,249.4914911,340.1553354,54.57819675,8.862979923,29232.82051,4033.285676,-5.266100932,132.2153891,27.66451317,15.1584019,13.15173499,11.49714639,14.95365531,14.1729529,298.8945943,48.31866869,37320.47387,20260.3872,123.8760985,174.3818691,90.64026162,80.3859299,41.7501774,5.355283329,85.03819986,96863.54389,134.2791662,209.7570233,141.3414197,42.50588505,8.758700908,0.880805356,0.843626586,1.054525486,126.0136536,138.7458243,39.85741371,4.191899117,23.19201944,0.711840587,0.062652024
8,990025,Aquarius II,0.657401511,61.33708429,18231.02938,0.826377066,15.17332507,6.941814665,0.725536413,0.64724034,168.4870285,80.86126965,38.64749605,20.36322597,468.6892827,85.30888834,145.1008168,84.74682178,9.186092009,560.377037,48.50865013,60.94063338,61.6723183,90.51599979,113.1078928,151.5982393,2.931016507,101.6400975,20.69119664,57.15666021,79.53007676,92.51896357,55.15779996,79.1839848,69.03933341,89.40411838,58.06661438,2.018965092,38.60247592,406.1210367,459.0376245,35.78334814,23.51787487,23416.98464,4492.548226,18.31719805,131.9653012,20.58748219,40.90095433,5.49814351,10.54579833,13.65860333,18.41948702,968.5436783,92.1144301,27634.51692,16408.56365,44.75075059,86.50211791,49.97190718,80.02010254,25.09618126,8.769488318,60.20828191,108844.2984,139.0222492,569.6085579,114.491251,32.22395785,4.519958752,0.705912522,0.714657941,0.984078848,152.2444312,153.0456525,-4.709357176,6.151801562,15.06059945,0.855896364,0.053927141
9,990025,Andromeda XI,0.657180131,62.55492928,16196.12566,0.679096358,12.93728113,6.529241526,0.561520017,0.48245046,154.0987866,80.33658145,60.17548427,21.78250205,913.5881728,47.23139636,203.6318349,119.4017478,18.68255916,464.0568325,41.48451847,60.98999921,68.95420333,71.74161795,102.7280094,102.5683842,2.834969399,117.3808863,16.337719,76.70562443,78.87934835,82.24068959,58.29530822,86.01268906,69.20548214,28.69031727,70.98468422,2.337117135,35.99846301,382.3754241,450.3067081,77.94989831,44.39016416,34280.13566,5779.122578,16.29409685,89.48660617,21.67334595,10.62143838,4.905175112,6.474652436,12.46476876,13.50105288,929.0836619,109.2388393,25134.23855,16984.86648,39.0958667,109.0981586,26.1369358,24.36012028,-1000,29.13840054,36.42465727,90109.81044,101.5900162,399.7094772,75.98541728,34.90332066,8.9015073,0.711487819,0.653704643,0.986518323,196.932805,172.910269,8.73199405,6.684400692,-1000,0.783015013,0.050588211
